ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3
40823|BVF MJNLE A5 DBL SIDED DISP|BVF|BVLGARI|783320408236|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40825|BVF MJNLE FRENCH DBL SIDED DISP|BVF|BVLGARI|783320408250|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40826|BVF MJNLE DOUBLE SIDED BANNER|BVF|BVLGARI|783320408267|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40827|BVF MJNLE GLORIFIER|BVF|BVLGARI|783320408274|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40828|BVF MJNLE COUNTER TS DISP|BVF|BVLGARI|783320408281|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40829|BVF MJNLE DBL COUNTER TS DISP|BVF|BVLGARI|783320408298|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40834|BVF MJN EDT 50ML SLEEVE 1=5|BVF|BVLGARI|783320408342|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40835|BVF MJNLE EDT 75ML SLEEVE 1=5|BVF|BVLGARI|783320408359|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40837|BVF MJN ELIXIR A4 DOUBLE DISPLAY|BVF|BVLGARI|2050000126802|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40838|BVF MJN EDP A5 DOUBLE DISPLAY|BVF|BVLGARI|2050000126819|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40842|BVF MJN GLORIFIER EDP|BVF|BVLGARI|2050000125188|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40844|BVF MJN ELIXIR DBL COUNTER TS DISPLAY|BVF|BVLGARI|2050000125195|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
